config,features,accuracy,acc_std,auc,f1,sensitivity,specificity,subj_accuracy
audio_only,whisper_emb,0.8976474182706996,0.009881430876135773,0.979266858675588,0.8962463773858148,0.834486735870819,0.9688109161793372,0.9848484848484849
text_only,bert_emb,0.7011915673693858,0.03958000575974317,0.7662561183170666,0.7188199517629662,0.7231833910034603,0.6764132553606238,0.787878787878788
handcrafted_only,tabular,0.7326611671249618,0.0322446451164953,0.8020352046333956,0.7339151377288863,0.6943483275663206,0.7758284600389863,0.8181818181818182
audio+text,whisper_emb+bert_emb,0.8594561564314085,0.04609962158605821,0.9545237886462922,0.8541492810974055,0.7889273356401384,0.9389213775178686,0.9848484848484849
audio+handcrafted,whisper_emb+tabular,0.7745187901008249,0.01788330049087918,0.8970279087440503,0.7609565111575064,0.6816608996539792,0.8791423001949318,0.8787878787878789
full,whisper_emb+bert_emb+tabular,0.7693247784906813,0.04498042237278583,0.8773318179467636,0.7537492775978364,0.6701268742791234,0.8810916179337233,0.8939393939393939
