accuracy,model,seed,fold,n_test
0.4,sweep_mel40_f200_avgpool,42,0,30
0.5,sweep_mel40_f200_avgpool,42,1,24
0.6,sweep_mel40_f200_avgpool,42,2,30
0.75,sweep_mel40_f200_avgpool,42,3,24
0.5,sweep_mel40_f200_avgpool,42,4,24
